UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID,Label
173.194.208.188-10.42.0.42-5228-36098-6,23-09-22,23-09-22,0,Heavy Rain,,"Anantnag, Kulgam ",JAMMU & KASHMIR,,,,,,,,,,"i) Damage to Orchards and standing crops reported. ii) Damage to a dozen houses, two school buildings and several cowsheds reported. ",IMD,,0
172.217.12.206-10.42.0.151-443-37571-6,03-06-22,14-03-22,Diffing the dates,Heavy Rain,,"Ballari, Dakshina Kannada, Gadag, Hassan, Uttar Kannada",KARNATAKA,,,,,1.0,,,4.0,1 man died temple wall collapse. 4 cattle heads perished.,"i)Damage to standing crops & Mango, Banana trees reported. ii) Damage to 8 houses reported.",IMD,,0
222.73.28.96-10.42.0.211-80-34397-6,04-07-22,04-12-22,153,Heavy Rain,,"Ballari,  Bidar, Hassan, Kodagu, Raichur ",KARNATAKA,,,,,4.0,1.0,,,4 persons died & One girl injured due to roof  of house collapsed,"i) Damage to Paddy crops, thousands of Banana plants, hundreds of Coconut trees & Rice bags reported ii) Damage to many houses reported. iii)  Damage to about 250 Tin-sheds reported. iv)  Many trees/electric poles uprooted. ",IMD,,0
172.217.6.225-10.42.0.151-443-48456-6,22-04-22,23-04-22,1,Heavy Rain,,"Bangalore Urban, Shimoga,  Tumkur",KARNATAKA,,,,,1.0,4.0,,,One person died due  to wall collapse in Bangalore Urban &  4 persons injured in Shimoga Dist,"i) Damage to Banana, Coconut, Mango, Jackfruit trees reported. ii) Damage to several houses reported. iii) Damage worth lakhs rupees reported.  iv) Many trees / electric poles uprooted",IMD,,0
10.42.0.151-23.208.147.183-60966-443-6,05-04-22,05-11-22,214,Cyclone and Flood,,"Raichur, Tumkur ",KARNATAKA,,,,,2.0,1.0,,,2 persons died & one other injured due to wall collapse ,Damage to Paddy crops resulting loss of lakhs of rupees reported. ,IMD,,1
206.126.112.142-10.42.0.151-443-42271-6,27-05-22,31-05-22,4,Heavy Rain,,"Bangalore Rular, Bangalore Urban, Chitradurga, Hassan ",KARNATAKA,,,,,1.0,4.0,,,One person died &  4 other injured,"Damage to more than 3000 Banana plants, Onion crop in 40 acre land, Coconut trees, pomegranate, Betel nuts reported. ii) Damage to Rose garden causing loss of lakhs of rupees reported. iii) Damage to many houses reported.  ",IMD,,0
192.229.163.180-10.42.0.211-443-59906-6,20-06-22,25-06-22,5,Cyclone and Flood,,"Chickmangalur, Dakshina Kannada, Hassan,  Kodagu, Shimoga ",KARNATAKA,,,,,8.0,8.0,,,8 persons died &  8 persons injured. ,i) Damage to Betel nut crops reported. ii) Damage to many houses reported.  iii) About 400 electric poles uprooted causing disruption in power supply for a week,IMD,,1
10.42.0.211-10.42.0.1-65040-53-17,07-10-22,20-07-22,Diffing the dates,Cyclone and Flood,,"Bellary ,Dakshina Kannada, Udupi ",KARNATAKA,,,,,10.0,,,,10 persons died,,IMD,,1
10.42.0.211-104.192.110.245-34811-80-6,29-09-22,29-09-22,0,Cyclone and Flood,,Uttara Kannada ,KARNATAKA,,,,,,,,,,Damage to 200 acres of Sugarcane & 70 acres of Banana plantation reported. ,IMD,,1
10.42.0.211-10.42.0.1-14796-53-17,10-01-22,10-04-22,90,Heavy Rain,,"Bagalkot, Belgaum, Bellary, Chitradurga, Davangere, Dharwad, Gulbarga, Tumkur ",KARNATAKA,,,,,4.0,,,,4 died,"Damage to crops standing crops of Sugarcane, Tobacco & sowing grains of Jowar, Cotton, and Paddy crops reported. ii) Damage to several houses reported. iii)  A small bridge collapsed causing inundating the road & disruption in traffic. iv)  Several trees uprooted.",IMD,,0
172.217.8.3-10.42.0.42-80-44821-6,11-02-22,11-02-22,0,Cyclone and Flood,,Chitradurga,KARNATAKA,,,,,,,,,,6 houses collapsed,IMD,,1
172.217.12.138-10.42.0.151-443-54377-6,03-03-22,03-09-22,184,Heavy Rain,,"Alappuzha, Ernakulam, Kottayam, Malappuram, Thrissur,  Pathanamthitta",KERALA,,,,,,,,,,"Damage to Paddy fields, vegetable plantations, thousands of Banana crops, Betel-leaves, Tapioca, Yam, Nutmeg Coconut trees, fruit crops etc. reported. ii) Roof of Co-operative bank building & a school building blown away causing damage to all files in the staff-room.  iii) Rice sacks kept for afternoon meals for school children extensively damaged in Pathanamthitta Dist. iv) Damage to several houses reported. v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply",IMD,,0
151.101.46.2-10.42.0.211-443-51471-6,13-03-22,17-03-22,4,Cyclone and Flood,,"Alappuzha, Kottayam, Thrissur, Thiruvananthapuram ",KERALA,,,,,,3.0,,,3 person injured Thiruvananthapuram Dist.,"Damage to thousands of Banana crops, vegetable plantation & Coconut, Teak, Jackfruit, Nutmeg trees reported. ii) Damage to several houses reported. iii) Boat capsized causing damage to several fishing equipments. In Alappuzha Dist. iv) Rs.12 lakhs worth damage reported.  v) Several trees / electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Several electric cable lines damaged completely",IMD,,1
10.42.0.151-119.167.164.25-42320-80-6,27-03-22,31-03-22,4,Heavy Rain,,"Alappuzha, Pathanamthitta ",KERALA,,,,,,,,,,"i) Damage to around 3500 Banana plantation uprooted. Damage to Tapioca, Bitter gaud crops & Cashew, Jackfruit, Peepal trees reported. ii) Damage to 3 acers of cultivation land & Gingily crops reported.  iii) Several road side trees uprooted causing disruption in vehicular traffic. iv) Several electric cable lines damaged causing disruption in power supply. v) Damage to worth Rs.15 lakhs according to Agriculture Department reported. vi) Partial damage to 58 houses in Haripad town reported",IMD,,0
10.42.0.211-104.97.95.172-36365-80-6,04-06-22,04-10-22,122,Cyclone and Flood,,"Alappuzha, Ernakulam, Palakkad, Idukki, Kollam ",KERALA,,,,,,1.0,,,1 person injured,"Damage to 250 acres of Paddy crops, 500 Banana plantation, vegetables & Gingili crops reported.  ii) Damage to worth Rs.30,000/- reported. iii) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply for few hours.",IMD,,1
10.42.0.211-10.42.0.1-37648-53-17,04-11-22,16-04-22,Diffing the dates,Heavy Rain,,"Ernakulam, Idukki, Kollam, Kozhikode,  Malappuram,  Pathanamthitta, Thiruvananthapuram,Wayanad ",KERALA,,,,,,5.0,,,5 persons injured,"i) Damage to more than 12,000 Banana plantation, more than 350 acres of vegetable cultivation & Teak, Rubber trees reported. ii) Damage to several houses reported.  iii) Approx Rs. 8 lakhs worth damage reported.  iv) Several trees uprooted & fell across the road causing damage to small vendors & traffic disruption",IMD,,0
172.217.12.195-10.42.0.151-443-48392-6,19-04-22,25-04-22,6,Heavy Rain,,"Alappuzha, Idukki, Kasaragod, Kannur, Malappuram,  Palakkad, Pathanamthitta,  Thiruvananthapuram",KERALA,,,,,1.0,13.0,,,2 persons injured in Idukki Dist. 3 persons injured in Kannur Dist. due to wall collapsed. One person injured in Malappuram Dist. 2 persons injured in Palakkad Dist. One person died &  5 persons seriously injured in Thiruvananthapuram Dist.,"Alappuzha: i) Vegetable crops e.g. Beans, Pumkin, Cucumber submerged. ii) Alappuzha ???????????????????????ª???­??????ª?????????ª­???ª?????ª? Kottayam Pathanamthitta road traffic disrupted iii) Several areas submerged. iv) Low-lying areas flooded. Idukki: i) Severe damage to Agriculture crops including Rubber Teak, Banana, Arecanut, Cardmon and Coconut reported. ii) Damage to 3 houses fully & 4 houses partially reported Kasaragod: i) Damage to 50 houses fully & 20 houses partially reported. ii) Damage to 15,000 Banana plantation, Rubber, Nutmeg, Coconut & more than 100 acres of agriculture crops reported. iii) Loss worth cores as per Krishi Bhavan authorities reported Kannur : Damage to Banana & vegetable crops reported. Malappuram: i) Damage to 100 acres of agricultural land & 2220 Banana plantation reported. ii) Loss worth lakhs rupees reported. iii) Several trees including 25 Coconut, Arecanuts uprooted. Palakkad: i) Damage to more than 10,000 Banana crops reported. ii) Damage to more than 20 houses reported. iii) Rs.1.5 crores worth damage estimated. iv) Several trees, 25 electric poles uprooted causing disruption in vehicular traffic & power supply. Pathanamthitta:  i) Damage to 20 acres of agricultural land reported. ii) 15 shops inundated. iii) Damage to several vehicles, computers and motors of different shops reported. Thiruvananthapuram: i) Extensive damage to Agricultural crops Banana, Tapioca,    vegetable in Meenmootil, Vamanapuram, Nelimood, Neyyattinkara, Vellarada etc. reported. ii) City area, Coastal areas, low-lying areas & several houses in Poovar, Kanjiramkulam, Pulluvilla & Vanjiyoor police station flooded. iii) Damage to about one hundred houses reported. iv) Damage to Thycaud-Women & child hospital reported. v) Several trees/electric poles uprooted causing disruption in telecommunication services vehicular traffic & power supply. vi) Loss worth lakhs of  rupees reported. ",IMD,,0
10.42.0.211-119.146.74.34-33273-80-6,26-04-22,30-04-22,4,Cyclone and Flood,,"Alappuzha, Ernakulam, Kannur, Kottayam, Malappuram, Pathanamthitta Thiruvananthapuram,Wayanad",KERALA,,,,,,2.0,,,One person injured in Kannur Dist. One person injured in Kottayam Dist.,"Alappuzha : i) More than 200 fishermen families affected. ii) Damage to 7 boats, nets, engine & fishing equipments in NeerkunamPounnapra coastal area reported. iii) Around 15 lakhs rupees worth damage reported Ernakulam: i) Damage to 200 Banana & Rubber Coconut, vegetable crops reported. ii) Damage to Agriculture crops worth lakhs of rupees reported. iii) Damage to several houses reported. iv) Irrigation & drinking water supply disrupted. Kannur: i) Damage to 50 houses reported. ii) Damage to 300 acres of agriculture crops reported. Kottayam: i) Damage to hundreds of Rubber, Banana, Tapioca, Teak Coconut & vegetable crops reported. ii) Damage to few houses reported. Malappuram: i) Around 5000 hectares of Paddy fields flooded. ii) Seeds ready for harvest, fell & got sprouted. Pathanamthitta : i) Damage to 2500 Tapioca plantation reported. ii) Damage to 5 houses reported. Thiruvananthapuram & Wayanad i) Thousands of Banana plantations uprooted. ii) Several electric cable lines damaged. ",IMD,,1
180.163.255.159-10.42.0.211-80-59934-6,05-03-22,05-05-22,61,Heavy Rain,,"Ernakulam, Idukki, Kannur, Palakkad, Thrissur, Thiruvananthapuram",KERALA,,,,,,2.0,,,2 persons injured as uprooted tree fell over the ca,"i) Damage to more than 2500 Banana crops reported & severe loss to Nutmeg, Tapioca & vegetable reported. ii) Damage to more than 80 houses reported. iii) Damage to portion of a school building, portion of a mosque reported. iv) Damage to several electric cable lines including 11 KV electric lines reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply",IMD,,0
172.217.7.195-10.42.0.42-443-54692-17,05-07-22,05-09-22,62,Cyclone and Flood,,"Kottayam, Palakkad, Thrissur",KERALA,,,,,,1.0,,,One person injured in Palakkad Dist,"Kottayam : i) Damage to Agriculture crops reported. ii) Transformer collapsed. iii) Damage to few houses reported. iv) Damage worth Rs. 4 lakhs reported by KSEB (Kerala State Electricity Board) authorities. Palakkad & Thrissur: i) Damage to more than 70 houses (Pookotkavu village - 40, Srikrishnapuram village - 29) reported. ii) Damage to around 400 plantations reported. iii) 15 Rubber trees & more than 50 electric poles uprooted causing disruption in vehicular traffic & power supply. iv) Damage to Anganwadi building reported as uprooted tree fell over it. v) Water supply disrupted for 2 days",IMD,,1
10.42.0.42-72.30.2.182-42276-443-6,05-10-22,14-05-22,Diffing the dates,Cyclone and Flood,,"Ernakulam, Idukkai, Kannur, Kasaragod, Kollam, Kozhikode, Mallapuram, Palakkad, Thrissur, Wayanad",KERALA,,,,,,4.0,,,4 persons injured,"i) Damage to Agriculture crops Banana, Rubber crops & 500 acres of Paddy fields reported. ii) Damage to several houses reported. iii) Water logging in low lying areas. iv) Loss worth Rs.60,000/-. v) Well caved in. vi) A huge tree uprooted & fell across Kozhikode-Vythiri-Ooty State Highway causing traffic disruption",IMD,,1
10.42.0.42-106.39.162.36-42068-80-6,15-05-22,28-05-22,13,Heavy Rain,,"Kasaragod, Kollam, Thiruvananthapuram",KERALA,,,,,5.0,15.0,,,"5 persons died in Pozhiyoor, Thiruvananthapuram Dist. 15 persons injured in Thiruvananthapuram Dis","Kasaragod: Worth rupees One lakh damage reported. Kollam: i) Extensive damage to Agricultural crops mainly Banana, Tapioca crops reported. ii) 6 houses inundated. iii) Low-lying areas, fields & NeduvathurPalmootti canal flooded. iv) Damage to house-hold electric appliances & wiring reported. v) Several trees uprooted causing disruption in vehicular traffic & power supply. Thiruvananthapuram: i) Agriculture crops including Banana, Rubber crops submerged. ii) Around 650 farmers affected. iii) Low-lying areas flooded. iv) Damage to more than 300 houses reported. v) People shifted to relief camps. vi) Eastfort, Killipalam, Karmana, Poojappura & Pazhavangadi areas innundated. vii) Thampanoor railway station, Bus stand, bus terminus flooded. viii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply. ix) Varkala beach area affected",IMD,,0
10.42.0.211-10.42.0.1-23660-53-17,06-08-22,16-06-22,Diffing the dates,Heavy Rain,,"Alappuzha, Kannur, Kollam, Thrissur, Thiruvananthapuram",KERALA,,,,,1.0,1.0,,,One person injured in Kollam Dist. One person died due to wall collapsed in Thrissur Dist.,Alappuzha : i) Damage to two acres of Banana crops reported. ii) Damage to 10 houses reported. iii) 26 families of 90 persons shifted to relief camps. iv) Water supply disrupted in beach areas. Kannur : District office of Kerala Aided School Employees???????????????????????ª???­??????ª???????????ª?????????? Provident fund caved in. Kollam :  Damage to a house reported as coconut tree uprooted fell over it. Thrissur :i) Damage to 5 houses reported. ii) Low-lying areas inundated. iii) Severe waterlogging in the low-lying areas.Thiruvananthapuram : i) Damage to 15 houses reported. ii) Damage to Fiber boat factory reported. iii) Around One lakh rupees worth damage reported.  iv) Several trees uprooted.,IMD,,0
180.76.147.97-10.42.0.211-80-35287-6,19-06-22,29-06-22,10,Cyclone and Flood,,"Alappuzha, Ernakulam, Idukki, Kasaragod, Kottayam, Kozhokode, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram, Wayanad ",KERALA,,,,,,,,,,,IMD,,1
172.217.10.110-10.42.0.151-443-55134-6,18-07-22,20-07-22,2,Heavy Rain,,Kannur,KERALA,,,,,,,,,Heavy Rain ,i) Damage to 465 hectares of land & Rs. 3.76 crore of crops reported. ii) Damage to 8 houses fully & 416 houses partially reported. Property loss of Rs.97.92 lakh reported.,IMD,,0
10.42.0.1-10.42.0.42-53-56184-17,08-12-22,08-12-22,0,Cyclone and Flood,,Kannur,KERALA,,,,,,,,,,i) Complete damage to one house reported. ii) 2 lakhs rupees worth damage reported.   ,IMD,,1
172.217.12.142-10.42.0.211-443-33591-6,09-05-22,09-06-22,31,Heavy Rain,,"Pathanamthitta, Thiruvananthapuram ",KERALA,,,,,,,,3000.0,Around 3000 hens perished in Thiruvananthapuram,"Pathanamthitta : Loss of worth Rs.3 lakhs reported as compound wall of a house collapsed. Thiruvananthapuram : i) Damage to Agricultural crops including Rubber plantation, Banana, Tapioca worth crores reported. ii) Damage to several shops, workshops, Govt. Dept., houses, bridges Oil-mill completely submerged causing damage worth Rs.8 lakhs. iii) Medicines of worth Rs.3 lakhs damaged, as Anand Veterinary hospital inundated. iv) Low lying areas inundated. v) 200 houses marooned.",IMD,,0
172.217.10.78-10.42.0.42-443-51018-6,27-09-22,28-09-22,1,Cyclone and Flood,,"Kannur, Wayanad",KERALA,,,,,,,,,,i) Damage to 3.5 acres of Paddy crops reported. ii) Loss worth lakhs of rupees reported as 2 acres of land damaged. iii) Many roads washed away,IMD,,1
10.42.0.42-37.1.203.158-55462-443-6,10-08-22,10-09-22,31,Heavy Rain,,Thiruvananthapuram,KERALA,,,,,,1.0,,,One person injured,"i) Damage to Agricultural crops including Rubber, Coconut trees reported. ii) Damage to more than 150 houses reported.",IMD,,0
10.42.0.211-98.139.180.180-38782-443-6,30-10-22,31-10-22,1,Cyclone and Flood,,Thiruvananthapuram,KERALA,,,,,,,,100.0,More than 100 hens perished.,i) Extensive damage to Agricultural crops reported. ii) About 150 houses inundated. iii) Low lying areas flooded. iv) Several trees / electric poles uprooted causing disruption in vehicular traffic & power supply,IMD,,1
10.42.0.211-66.198.24.225-49105-443-6,11-01-22,21-11-22,314,Cyclone and Flood,,"Ernakulam, Malappuram, Pathanamthitta, Thiruvananthapuram",KERALA,,,,,2.0,,,,2 persons died,"i) Damage to Agricultural crops including Banana, Tapioca, Betelleaves, vegetables reported. ii) Several houses inundated & complete damage to 11 houses reported. iii) Many people shifted to safer places. iv) Damage to about 70 vehicles reported. v) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",IMD,,1
158.85.224.187-10.42.0.211-443-53287-6,12-08-22,19-12-22,129,Cyclone and Flood,,"Alappuzha, Thiruvananthapuram",KERALA,,,,,,,,,,"i) Damage to more than 2000 acres of Paddy cultivation and agricultural crops including Rubber, Banana, Tapioca, Yam, vegetables reported. ii) Low lying areas flooded. iii) Tones of the seeds washed away. iv) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply",IMD,,1
10.42.0.151-47.89.67.224-59130-443-6,19-07-22,21-07-22,2,Cyclone and Flood,,"Betul, Burhanpur, Harda, Indore, Khandwa Sehore, Ujjain, Vidisha",MADHYA PRADESH,,,,,15.0,5.0,,,15 persons died including 5 people swept away in flood water.,"i) About 6300 people affected. ii) Railway, Bus, electricity & telephone services disrupted",IMD,,1
173.194.205.188-10.42.0.151-5228-50845-6,13-08-22,13-08-22,0,Cyclone and Flood,,Betul,MADHYA PRADESH,,,,,1.0,,,,One woman swept away,,IMD,,1
