UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID
10.42.0.211-123.125.29.220-34638-80-6,31-05-21,31-05-21,0,Cyclone and Flood,NA,Bangalore Urban,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One died due to wall collapse.,NA,IMD,NA
10.42.0.211-66.231.239.120-35547-80-6,06-05-21,06-05-21,0,Heavy Rain,NA,Belgaum,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One woman died as a tree fell on her.,NA,IMD,NA
140.205.32.3-10.42.0.211-443-56389-6,06-10-21,18-06-21,Diffing the dates,Heavy Rain,NA,Dakshina Kannada,KARNATAKA,NA,NA,NA,NA,8,6,NA,NA,"4 persons died, 4 others washed and 6 others injured.",i) Low lying areas flooded. ii) Trees/electricity poles uprooted causing disruption in road traffic and power communication.,IMD,NA
10.42.0.211-77.234.44.79-56575-443-6,07-02-21,07-05-21,89,Cyclone and Flood,NA,"Belgaum, Dakshina Kannada, Honavar and Kodagu",KARNATAKA,NA,NA,NA,NA,7,NA,NA,NA,3 persons died and 4 others washed away.,i) Low lying areas flooded. ii) Trees/electricity poles uprooted causing disruption in road traffic and power communication.,IMD,NA
208.80.154.224-10.42.0.211-443-47891-6,15-07-21,15-07-21,0,Heavy Rain,NA,Bellary and Shimoga,KARNATAKA,NA,NA,NA,NA,2,NA,NA,NA,2 persons washed away.,NA,IMD,NA
10.42.0.211-106.39.169.66-59735-443-6,20-07-21,20-07-21,0,Cyclone and Flood,NA,Davanagere,KARNATAKA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
10.42.0.211-66.198.24.225-55317-80-6,25-07-21,25-07-21,0,Heavy Rain,NA,Uttara Kannada,KARNATAKA,NA,NA,NA,NA,NA,NA,NA,NA,One person washed away.,NA,IMD,NA
172.217.11.34-10.42.0.151-443-58961-6,08-01-21,08-01-21,0,Cyclone and Flood,NA,Kodagu,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD,NA
10.42.0.211-10.42.0.1-4610-53-17,08-05-21,08-05-21,0,Heavy Rain,NA,Udupi,KARNATAKA,NA,NA,NA,NA,1,NA,NA,NA,One woman died due to wall collapse.,NA,IMD,NA
172.217.10.74-10.42.0.151-443-46237-6,09-11-21,20-09-21,Diffing the dates,Cyclone and Flood,NA,"Banglore Urban, Belgaum, Bidar, Davanagere, Gadag, Gulbarga, Koppal, Raichur and Tumkur",KARNATAKA,NA,NA,NA,NA,19,NA,NA,NA,9 persons died due to wall collapse and 10 others washed away.,NA,IMD,NA
172.217.10.10-10.42.0.211-443-50243-6,03-09-21,03-09-21,0,Cyclone and Flood,NA,Wayand,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Around 10,000 banana, coconut, arecanut plantations damaged. ii) Damage to crops worth lakhs rupees reported.",IMD,NA
10.42.0.211-10.42.0.1-19958-53-17,03-12-21,03-12-21,0,Cyclone and Flood,NA,Kannur,KERALA,NA,NA,NA,NA,NA,NA,NA,4500,"About 4,500 hens perished.",Damage to farm equipments of worth 12 lakhs rupees reported.,IMD,NA
202.77.129.150-10.42.0.211-80-48418-6,26-03-21,26-03-21,0,Cyclone and Flood,NA,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Low lying areas submerged. ii) Number of electric poles/trees uprooted causing traffic and vehicular disruption. iii) Heavy damage to Govt. Ayurveda Hospital and post office buildings reported.,IMD,NA
180.149.153.68-10.42.0.211-80-60033-6,29-03-21,31-03-21,2,Cyclone and Flood,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Thousands of Banana plantations and other crops uprooted. ii) Loss worth lakhs rupees reported.,IMD,NA
10.42.0.211-10.42.0.1-45243-53-17,26-04-21,28-04-21,2,Heavy Rain,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,2,NA,NA,2 persons injured.,"i) Acres of banana plantations, paddy and vegetables damaged. ii) Damage to several houses reported. iii) Trees uprooted causing disruption in road traffic and power supply reported.",IMD,NA
10.42.0.211-47.89.69.217-33936-80-6,05-03-21,05-07-21,122,Heavy Rain,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Damage to thousands of banana, rubber and mango plantations reported. ii) Number of villages inundated.",IMD,NA
222.73.28.96-10.42.0.211-80-34397-6,05-05-21,05-05-21,0,Cyclone and Flood,NA,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Several villages inundated. ii) Few houses damaged. iii) Many trees including rubber plantations uprooted. iv) Mango orchards completely damaged. v) Cattle sheds inundated. vi) Loss worth 3.5 crore rupees reported.,IMD,NA
172.217.6.206-10.42.0.151-443-37106-6,06-02-21,06-06-21,120,Cyclone and Flood,NA,Thiruvananthapuram.,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) Extensive damage to banana, rubber, coconut reported. ii) Few houses partially damaged.",IMD,NA
209.85.232.188-10.42.0.151-5228-57481-6,06-08-21,06-08-21,0,Cyclone and Flood,NA,Thiruvananthapuram and Thrissur,KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured.,"Thiruvananthapuram: i) Several crops submerged. ii) About 300 houses submerged and more than 100 houses damaged. iii) Around 150 people shifted relief camps. iv) Several trees uprooted and fell over several buildings, houses, roads causing disruption in traffic and power supply. Thrissur: i) More than 80 houses partially damaged. ii) Several houses flooded. iii) People shifted to relief camps. iv) Number of coconut trees uprooted.",IMD,NA
10.42.0.211-66.231.239.124-34048-443-6,06-08-21,16-06-21,Diffing the dates,Heavy Rain,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"About 20,500 banana plantations damaged.",IMD,NA
172.217.12.170-10.42.0.211-443-47222-6,06-11-21,26-06-21,Diffing the dates,Heavy Rain,NA,Thiruvananthapuram.,KERALA,NA,NA,NA,NA,7,NA,NA,NA,7 persons died and few others injured in different incidences.,"i) About 3,000 houses partially and 500 completely damaged. ii) Extensive damage to the banana, rubber, bamboo, coconut plantations reported. iii) Several roads/canals/houses flooded. iv) More than 500 people shifted to the relief camps. v) Extensive damage to agricultural crops/land reported. vi) Several cable lines damaged. vii) Many trees/electric poles uprooted causing traffic disruption and also fell over buildings, vehicles causing damage to the property. viii) Massive damage to the house hold articles reported. ix) Number of boats, boat nets and fishing equipments drowned.",IMD,NA
10.42.0.211-66.231.239.122-52341-80-6,17-06-21,17-06-21,0,Heavy Rain,NA,Kasaragod,KERALA,NA,NA,NA,NA,2,2,NA,NA,2 persons died and 2 others injured due to landslide.,Landslide reported.,IMD,NA
192.229.173.173-10.42.0.42-80-55310-6,24-06-21,27-06-21,3,Heavy Rain,NA,Kasaragod and Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) About 40 houses partially damaged. ii) About 590 people shifted to relief camps. iii) 6 wells collapsed causing a loss of worth Rs. 47,000/-only. iv) Extensive damage to agricultural crops reported. v) Dried bamboo plantations fell across NH roads causing traffic disruption. vi) Madakkal suspension bridge in Kasargode collapsed.",IMD,NA
10.42.0.211-23.194.141.143-36948-443-6,25-06-21,29-06-21,4,Heavy Rain,NA,"Idukki, Ernakulam, Kollam, Kozhikode,Palakkad and Pathanamthitta",KERALA,NA,NA,NA,NA,3,NA,NA,NA,2 persons died due to wall collapse in Pathananthitta while one person died due to landslide in Munnar.,Ernakulam: i) 16 houses fully and 326 houses partially damaged. ii) About 1360 people shifted to the relief camps. iii) 68.7 hectares of agricultural land submerged. iv) Loss of worth Rs. 5.37 crores reported. Kollam: i) One house fully and 20 houses partially damaged. ii) 3 wells caved in. Kozhikode: iii) 45 houses fully and and 2 partially damaged. iv) 6 boats completely and 1 boat partially damaged. v) About 30 boats drowned at Chaliyar coast. Palakkad: i) 12 houses damaged causing a loss of worth Rs. 1.2 lakhs reported. ii) 6.75 hectares of agricultural land damaged causing a loss of worth Rs. 1.32 crores reported. Pathanamthitta: i) Extensive damage to rubber plantations reported. ii) Punalur-Muvattapuzha State highway submerged causing vehicular disruption.,IMD,NA
10.42.0.151-10.42.0.1-5088-53-17,27-06-21,29-06-21,2,Cyclone and Flood,NA,Alappuzha,KERALA,NA,NA,NA,NA,10,NA,NA,NA,7 persons died and 3 others drowned.,"i) 33 houses fully and 633 houses partially damaged causing a loss of worth Rs. 88.89 lakhs. ii) Alappuzha-Changanacherry road inundated causing traffic disruption. iii) About 15 villages inundated. iv) Few houses washed away. v) About 4.5 lakh people shifted in relief camps. vi) More than 200 hectares of paddy fields submerged. vii) About 3,300 hectares of agricultural land affected. causing a loss of worth Rs. 3.8 crore.",IMD,NA
10.42.0.211-10.42.0.1-55677-53-17,07-01-21,07-04-21,90,Heavy Rain,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mananthavady Tehsil: i) Landslides reported. ii) One house partially damaged. iii) One well caved in. iv) Many bamboo grooves, rubber trees uprooted causing traffic disruption. v) Niravill bridge submerged. vi) Mainly tribal people and farmers affected. vii) Pollampara bridge damaged as it was submerged. Vythiri Tehsil: i) 56 houses partially and 3 houses completely damaged. ii) One well caved in. iii) 257 families shifted to 16 relief camps. iv) Rs. 7.89 lakhs worth loss reported.",IMD,NA
10.42.0.151-111.202.114.77-52895-80-6,07-05-21,07-12-21,214,Cyclone and Flood,NA,Idukki and Thiruvananthapuram,KERALA,NA,NA,NA,NA,2,NA,NA,NA,i) 2 persons injured in Maruthankuzhy area as a tree fell over them. ii) Few livestock perished.,"Cheruthoni town in Idukki: i) Landslide reported. ii) 5 acres of standing crops washed away. Thiruvananthapuram: i) A tree fell over a house damaging it in Killimanoor town. ii) A tree fell over electric cable lines disrupting power supply. iii) Acacia, Jackfruit, coconut, rubber, teak trees uprooted fell over a transformer, one house and a shop compound wall, damaging/collapsing the structures and also damaging some vehicles. iv) Several trees uprooted fell over NH road disrupting traffic and damaging a temple, a school building and a cattle-shed. v) A well caved in. vi) Taluka hospital of Chrayankeezhu damaged as a tree fell over it. vii) Few houses damaged.",IMD,NA
192.229.173.173-10.42.0.211-80-51586-6,07-11-21,07-11-21,0,Cyclone and Flood,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mananthavady Tehsil: 1,90,000 banana plantations damaged. 8 hectares of ginger, 5 hectares of yam, 1118 arecanut trees, 336 rubber trees, 1.5 acres of paddy damaged causing Rs.2 crores worth loss reported.",IMD,NA
10.42.0.211-123.125.29.220-55258-80-6,07-11-21,13-07-21,Diffing the dates,Cyclone and Flood,NA,"Alappuzha, Ernakulam, Kollam and Kottayam",KERALA,NA,NA,NA,NA,3,1,NA,NA,i) One person drowned in Kuttanad. ii) One person missing as fishing boat capsized in Kollam. iii) A girl drowned at Thiruchandoor. iv) In Ernakulam one person died as he fell into a flooded canal.,"Alappuzha: i) Coconut, banana plantations, tapioca, vegetables damaged. ii) 15,000 houses inundated. iii) About one lakh people shifted in relief camps.",IMD,NA
172.217.11.35-10.42.0.151-80-54054-6,19-07-21,26-07-21,7,Heavy Rain,NA,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 40 houses damaged.  ii) Crops and rubber, banana plantations damaged. iii) Jack, teak and coconut trees uprooted. iv) Loss of worth one lakh rupees reported.",IMD,NA
10.42.0.151-123.125.29.138-37558-80-6,23-07-21,23-07-21,0,Cyclone and Flood,NA,Ernakulam,KERALA,NA,NA,NA,NA,4,2,NA,NA,4 persons died and 2 others injured in a landslide.,NA,IMD,NA
10.42.0.211-23.203.49.224-36162-443-6,29-07-21,29-07-21,0,Heavy Rain,NA,Pathanamthitta,KERALA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD,NA
172.217.10.14-10.42.0.211-443-39422-6,08-01-21,08-02-21,31,Cyclone and Flood,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,2,NA,NA,2 persons injured in Kalpetta town.,"Taruvana town: i) Thousands of paddy, banana, arecanut, coconut, rubber plantations submerged and damaged. ii) 841.30 ha. of crops damaged. iii) 4 houses partially damaged. Kalpetta town: i) 17 houses completely while 14 houses partially damaged. ii) 361 families shifted to relief camps. Mananthavady Tehsil: i) 18 families with 133 people shifted to relief camps. ii) Several trees uprooted causing traffic disruption. iii) Cherupuzha bridge submerged. iv) One house damaged fully and other partially. Padinjarathara town: i) Agricultural crops, worth lakhs rupees damaged. ii) Thousands of banana, paddy, arecanut, coconut plantations submerged. iii) Several families shifted to safer places.",IMD,NA
169.47.42.102-10.42.0.211-443-57250-6,08-02-21,08-06-21,120,Heavy Rain,NA,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,1,NA,NA,One person injured as tree fell on him in Kilimanoor.,"Kilimanoor, Kallara, Pangode and Chirayankeezhu towns: i) Several rubber, banana, coconut and agricultural crops damaged. ii) Several trees uprooted damaging houses. 60 houses damaged partially in Neyyattinkkara, Nedumangad and Chirayankeezhu tehsils. iii) In Pangode 3 hectares of Mangiyam trees uprooted. iv) Wall of a well caved in. v) Several electric lines damaged in Kadakkavoor and Vakkom areas.",IMD,NA
10.42.0.151-10.42.0.1-33766-53-17,08-04-21,08-08-21,122,Cyclone and Flood,NA,"Alappuzha, Ernakulam and Idukki,",KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alappuzha: i) One house washed away and several houses inundated. ii) About 1.8 lakh people shifted to 183 relief camps. iii) Damage to 1600 acres of agricultural crops reported. Ernakulam: i) Kothamangalam town and Kochi airport runway flooded. ii) Landslide at Blavana Pooyamkutty road reported. iii) About 14,043 people shifted to 121 relief camps. iv) Manikandanchal bridge, Mahadeva temple submerged in Aluva  .Idukki: i) About 10 shops buried in landslide. ii) Few houses and buildings collapsed. iii) 240 people shifted to 5 relief camps. iv) Landslide reported near Kulamavu and around 4 acres of land washed away. v) A hill caved down around 600 feet causing damage to agricultural crops. vi) Land caved in and roads blocked causing road traffic disruption.",IMD,NA
10.42.0.151-103.43.91.11-46665-443-6,08-10-21,16-08-21,Diffing the dates,Heavy Rain,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Landslide reported. ii) Acres of paddy fields damaged. iii) Thalasserry-Mananthavady road completely damaged disrupting vehicular traffic,IMD,NA
209.10.120.26-10.42.0.211-80-34840-6,09-01-21,09-01-21,0,Heavy Rain,NA,Idukki,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) 15 acres of paddy fields washed away in Mangad. ii) Loss of worth lakh rupees reported.,IMD,NA
182.22.24.124-10.42.0.211-443-33020-6,09-12-21,09-12-21,0,Cyclone and Flood,NA,Wayanad,KERALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Padumutty bridge collapsed. ii) 2 houses damaged partially. iii) Several houses inundated. iv) Landslide reported. v) People shifted to safer places.,IMD,NA
10.42.0.1-10.42.0.42-53-65101-17,17-09-21,17-09-21,0,Heavy Rain,NA,Thiruvananthapuram,KERALA,NA,NA,NA,NA,NA,3,NA,NA,3 persons injured.,"i) In Venjaranmood village, a tree fell and broke 11KV electric line causing traffic disruption. ii) Some vehicles damaged.",IMD,NA
10.42.0.211-23.192.76.180-46699-443-6,26-06-21,27-06-21,1,Cyclone and Flood,NA,"Betul, Rajgarh, Sagar, Sehore and Ujjain",MADHYA PRADESH,NA,NA,NA,NA,7,NA,NA,NA,7 persons swept away.,Trees/poles uprooted disrupting electricity/ telephone services.,IMD,NA
10.42.0.211-77.234.44.201-57603-80-6,07-04-21,07-04-21,0,Cyclone and Flood,NA,Indore,MADHYA PRADESH,NA,NA,NA,NA,5,NA,NA,NA,One girl drowned in manholes and 2 others swept away.,NA,IMD,NA
10.42.0.211-52.208.99.154-48199-443-6,13-07-21,16-07-21,3,Heavy Rain,NA,Betul and Harda,MADHYA PRADESH,NA,NA,NA,NA,12,NA,NA,NA,i) 10 persons swept away in the flood water of Bukakhedi river in Betul. ii) 2 boys swept away in Harda.,Low lying areas and crop land inundated.,IMD,NA
10.42.0.211-106.39.162.36-43642-80-6,23-08-21,23-08-21,0,Heavy Rain,NA,sehore,MADHYA PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One girl swept away.,i) Damage to few houses reported. ii) More than 100 villages submerged. iii) Low lying areas inundated.,IMD,NA
205.204.101.182-10.42.0.211-443-49841-6,02-11-21,02-11-21,0,Cyclone and Flood,NA,Jalgaon and Nanded,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Damage to wheat, banana, pappya, chilly crops reported.",IMD,NA
192.229.173.173-10.42.0.42-80-38024-6,23-02-21,23-02-21,0,Heavy Rain,NA,Wardha,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One person died as a tree fell on him.,"Damage to oranges, mosambi, wheat, gram, chilly and vegetables in some hectares of area reported.",IMD,NA
10.42.0.1-10.42.0.42-53-51990-17,17-04-21,17-04-21,0,Cyclone and Flood,NA,Jalgaon,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,One woman died as a tree fell on her.,"Banana, cotton and jawar plantations damaged.",IMD,NA
10.42.0.211-10.42.0.1-18914-53-17,23-04-21,23-04-21,0,Heavy Rain,NA,Nagpur,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"About 50,000 sacks of soya and wheat grains affected.",IMD,NA
10.42.0.211-123.125.29.220-52276-80-6,06-07-21,06-07-21,0,Cyclone and Flood,NA,Pune,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,"One woman along with her daughter swept away at Shindewadi, Katraj.",NA,IMD,NA
10.42.0.211-10.42.0.1-12949-53-17,06-09-21,06-09-21,0,Heavy Rain,NA,Mumbai,MAHARASHTRA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died in Bhandup and 9 others injured.,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD,NA
10.42.0.211-61.135.185.139-54819-80-6,16-06-21,18-06-21,2,Cyclone and Flood,NA,Pune and Thane,MAHARASHTRA,NA,NA,NA,NA,6,2,NA,NA,i) 3 women died due to wall collapse inPune. ii) 3 labours died and 2 others injured in the landslide at Turbhe.,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD,NA
10.42.0.151-104.193.88.109-58875-80-6,22-06-21,28-06-21,6,Cyclone and Flood,NA,"Akola, Amaravati, Bhandara, Buldhana, Chandrapur, Gondia, Nagpur, Wardha,Washim and Yavatmal",MAHARASHTRA,NA,NA,NA,NA,3,NA,NA,NA,3 persons died.,i) Extensive damage to the standing and paddy crops reported. ii) Bridges washed away and many huts submerged. iii)About 50 houses and 3 cattle sheds damaged.,IMD,NA
172.217.3.98-10.42.0.211-443-37004-6,07-03-21,07-03-21,0,Cyclone and Flood,NA,Raigad and Ratnagiri,MAHARASHTRA,NA,NA,NA,NA,5,NA,NA,NA,5 persons died and other swept away.,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD,NA
162.208.22.39-10.42.0.211-443-37017-6,14-07-21,19-07-21,5,Cyclone and Flood,NA,"Amaravati, Chandrapur, Gondia,Nagpur, Wardha, Washim and Yavatmal",MAHARASHTRA,NA,NA,NA,NA,47,NA,NA,1000,"i) About 30 persons died, 16 others drowned and one swept away. ii) About 1000 livestock perished.","i) About 330 houses fully and 2000 kachcha houses partially damaged. ii) Extensive damage to the soyabean, cotton, tur, rice in thousands of hectares reported. iii) Many areas submerged. iv) Number of families shifted to safer places.",IMD,NA
172.217.10.66-10.42.0.151-443-59905-6,24-07-21,24-07-21,0,Cyclone and Flood,NA,Buldhana,MAHARASHTRA,NA,NA,NA,NA,1,NA,NA,NA,"One person swept away in Gundha village, Lonar tehsil.",Damage to Kharif crops reported in some villages.,IMD,NA
172.217.6.234-10.42.0.211-443-40588-6,08-01-21,08-03-21,59,Heavy Rain,NA,"Amaravati, Chandrapur, Nagpur, Wardha and Yavatmal",MAHARASHTRA,NA,NA,NA,NA,14,18,NA,NA,"9 persons died, 5 others swept away and 18 others injured.","i) Low lying areas and crop land inundated. ii) Railway tracks, vehicles, roads inundated. iii) About 5.42 lakh hectares of land of standing crops washed away in Nagpur district. iv) About 2.5 lakh hectares of crops damaged in Chandrapur district. v) About 5000 houses damaged/collapsed. vi) Many places inundated and many families shifted to safer places. vii) Road traffic/ electricity/ telecommunication services disrupted. viii) More than hundreds of a cattle sheds damaged. ix) Estimated loss of about 100 crore rupees reported.",IMD,NA
10.42.0.151-66.198.178.50-49616-80-6,19-09-21,19-09-21,0,Heavy Rain,NA,Pune,MAHARASHTRA,NA,NA,NA,NA,4,NA,NA,NA,4 persons died as a house collapsed in Yerawada area.,Road traffic/ electricity/ telecommunication services disrupted.,IMD,NA
10.42.0.211-113.108.216.233-33242-80-6,26-09-21,26-09-21,0,Cyclone and Flood,NA,Nandurbar,MAHARASHTRA,NA,NA,NA,NA,8,NA,NA,NA,8 persons died and few others injured due to massive landslide.,NA,IMD,NA
10.42.0.151-115.239.210.141-35224-443-6,10-11-21,10-11-21,0,Cyclone and Flood,NA,Jalgaon,MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Low lying areas flooded. ii) Trees/poles uprooted causing vehicular and traffic disruption.,IMD,NA
10.42.0.211-54.192.48.23-46940-80-6,05-11-21,05-11-21,0,Cyclone and Flood,NA,Aizwal,MIZORAM,NA,NA,NA,NA,17,NA,NA,NA,17 persons died in a massive landslide.,Damage to some buildings reported.,IMD,NA
172.217.6.234-10.42.0.211-443-51855-6,07-12-21,07-12-21,0,Heavy Rain,NA,Kohima,NAGALAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Landslides disrupt vehicular movement on NH-29. ii) A large number of vehicles were stranded on NH-29 near Phesama village,IMD,NA
10.42.0.211-10.42.0.1-63964-53-17,08-02-21,08-02-21,0,Heavy Rain,NA,Bhadrak,ODISHA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
172.217.10.42-10.42.0.151-443-54504-6,08-10-21,08-10-21,0,Heavy Rain,NA,Koraput,ODISHA,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
151.101.46.2-10.42.0.211-443-59831-6,23-08-21,23-08-21,0,Heavy Rain,NA,Bhadrak,ODISHA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD,NA
175.100.207.232-10.42.0.211-443-54093-6,16-09-21,16-09-21,0,Heavy Rain,NA,Cuttack,ODISHA,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD,NA
10.42.0.211-10.42.0.1-40959-53-17,16-02-21,16-02-21,0,Cyclone and Flood,NA,"Banswara, Dholpur and Sawai  Madhopur",RAJASTHAN,NA,NA,NA,NA,3,NA,NA,NA,3 person died,NA,IMD,NA
10.42.0.42-31.13.69.197-53874-443-6,06-08-21,06-08-21,0,Heavy Rain,NA,"Kota, Tonk and Udaipur",RAJASTHAN,NA,NA,NA,NA,6,NA,NA,NA,6 persons died due to wall collapse.,Road traffic/ electricity/ telecommunication services disrupted.,IMD,NA
10.42.0.211-10.42.0.1-31391-53-17,06-11-21,06-11-21,0,Cyclone and Flood,NA,Jaipur ,RAJASTHAN,NA,NA,NA,NA,1,NA,NA,NA,one person died,NA,IMD,NA
172.217.7.131-10.42.0.211-80-38213-6,09-11-21,09-11-21,0,Cyclone and Flood,NA,Chennai and Tiruvallur,TAMIL NADU,NA,NA,NA,NA,4,NA,NA,NA,4 person died,i) Several trees/electric poles uprooted causing traffic disruption. ii) Roof of some houses blown away.,IMD,NA
10.42.0.151-31.13.69.229-50432-443-6,15-10-21,15-10-21,0,Cyclone and Flood,NA,Coimbatore and Cuddalore,TAMIL NADU,NA,NA,NA,NA,2,NA,NA,NA,2 persons died due to wall collapse.,NA,IMD,NA
10.42.0.211-64.71.142.124-51151-443-6,20-10-21,20-10-21,0,Heavy Rain,NA,Coimbatore and Tiruvannamalai,TAMIL NADU,NA,NA,NA,NA,1,NA,NA,NA,One person died due to wall collapse and other washed away.,NA,IMD,NA
10.42.0.211-64.71.142.124-55841-443-6,16-11-21,16-11-21,0,Cyclone and Flood,NA,"Cuddalore, Dharamapuri, Kanyakumari, Nagapattinam, Thanjavur, Thiruvarur and  Villupuram",TAMIL NADU,NA,NA,NA,NA,11,NA,NA,7,i) 11 persons died in different incidences. ii) 7 cattle heads perished.,i) About 35 houses fully and 150 houses partially damaged. ii) Damage to banana plantations reported. iii) About 100 electric poles damaged in Sirkazhi town. iv) Roof of a school building blown away. v) 2500 acres of salt pans submerged.,IMD,NA
10.42.0.211-119.146.74.34-59621-80-6,25-11-21,25-11-21,0,Heavy Rain,NA,Pudukkottai,TAMIL NADU,NA,NA,NA,NA,3,NA,NA,NA,3 person died,NA,IMD,NA
173.194.66.188-10.42.0.42-5228-58327-6,13-12-21,13-12-21,0,Cyclone and Flood,NA,Nagapattinam,TAMIL NADU,NA,NA,NA,NA,1,NA,NA,NA,one fisherman lost his life.,"About 6,000 acres of paddy crops damaged.",IMD,NA
10.42.0.151-104.192.110.245-54119-443-6,06-12-21,06-12-21,0,Heavy Rain,NA,Kannauj,UTTAR PRADESH,NA,NA,NA,NA,10,NA,NA,NA,10 person died,i) Low lying areas and crop land inundated. ii) Several trees/electric poles uprooted causing traffic disruption. iii) Roof of some houses blown away.,IMD,NA
202.77.129.150-10.42.0.211-80-49798-6,17-06-21,17-06-21,0,Cyclone and Flood,NA,Muzaffar Nagar,UTTAR PRADESH,NA,NA,NA,NA,1,3,NA,NA,One woman died and 3 others injured due tohouse collapse.,i) Several trees/electric poles uprooted causing traffic disruption. ii) Roof of some houses blown away.,IMD,NA
10.42.0.211-123.125.115.164-47713-443-6,19-06-21,19-06-21,0,Heavy Rain,NA,Barabanki and Bahraich,UTTAR PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 person died,NA,IMD,NA
173.194.74.113-10.42.0.42-443-48147-6,25-06-21,30-06-21,5,Heavy Rain,NA,"Faizabad, Gonda and sitapur",UTTAR PRADESH,NA,NA,NA,NA,12,NA,NA,NA,About 12 persons died in different incidences,i) Damage to some houses reported. ii) Low lying areas flooded. iii) Road/rail traffic disrupted..,IMD,NA
220.243.205.152-10.42.0.211-80-43948-6,15-07-21,15-07-21,0,Cyclone and Flood,NA,Faizabad,UTTAR PRADESH,NA,NA,NA,NA,1,2,NA,NA,One person died and 2 others injured,NA,IMD,NA
172.217.9.227-10.42.0.151-443-50178-6,26-07-21,26-07-21,0,Heavy Rain,NA,Balrampur,UTTAR PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 person died,NA,IMD,NA
172.217.3.110-10.42.0.42-443-39374-6,17-08-21,17-08-21,0,Cyclone and Flood,NA,Kannauj,UTTAR PRADESH,NA,NA,NA,NA,15,3,NA,NA,15 persons died and 3 others injured.,i) Damage to some houses reported. ii) Low lying areas flooded. iii) Road/rail traffic disrupted.,IMD,NA
